,answerability_classification,cause_effect_classification,coreference_resolution,dialogue_act_recognition,word_analogy,textual_entailment,eval_exact_match
english,59.3846,51.2857,49.4286,59.4286,52.25,45.7083,36.8417
english_repeat_first,61.5385,48.5714,48.5,54.8571,50.0,46.0833,36.63
english_repeat_last,60.0,51.4286,47.7857,48.2857,49.375,50.1667,36.5961
english_stopword,61.1538,49.0,50.0,49.2857,48.625,44.8333,36.105
english_delete_5,60.69233333333333,49.14283333333333,47.238099999999996,53.09523333333333,52.791666666666664,44.66663333333333,35.980799999999995
english_delete_10,61.1282,50.666666666666664,49.45236666666667,52.90473333333333,50.791666666666664,44.02779999999999,36.031600000000005
english_insert_5,60.8205,48.523833333333336,49.499966666666666,55.2857,51.0,45.65276666666667,36.288466666666665
english_insert_10,60.43586666666666,48.714266666666674,47.523833333333336,56.571433333333324,52.5,44.555566666666664,36.1699
english_replace_5,61.97436666666666,48.33336666666667,48.2619,54.380966666666666,50.041666666666664,45.041666666666664,36.037266666666675
english_replace_10,60.307700000000004,49.23806666666667,47.73806666666667,50.0,51.583333333333336,43.875,35.65903333333333
english_repeat_sentences,61.38463333333334,48.04760000000001,48.380966666666666,53.7143,51.083333333333336,48.541666666666664,36.785199999999996
english_shuffle_sentences,62.23076666666666,49.571400000000004,48.571400000000004,54.380966666666666,50.125,45.194433333333336,36.37033333333333
