,data_to_text,grammar_error_correction,title_generation,keyword_tagging,overlap_extraction,question_rewriting,eval_rougeL
english,42.8405,88.4847,37.2547,67.8957,39.0529,67.3796,54.9941
english_delete_0.1,41.8728,84.9883,37.7868,67.7117,35.9852,67.1147,52.6489
english_delete_5,42.6549,86.1167,37.044,68.3362,38.0657,67.6335,54.1602
english_delete_10,43.1939,86.8097,37.2057,67.3219,37.6807,67.7809,53.8852
english_stopword,44.2973,89.1589,36.9102,68.4923,38.5593,67.5672,54.0843
english_insert_10,41.858,83.2675,37.0342,66.2961,37.0676,67.5916,54.1809
english_insert_10,41.858,83.2675,37.0342,66.2961,37.0676,67.5916,54.1809
english_repeat_first,42.5617,87.2667,37.0157,69.3283,37.126,67.4935,54.2651
english_repeat_last,42.3212,86.5468,36.2158,62.1073,37.4669,59.8115,52.7359
english_repeat_sentences,41.9677,86.8619,37.0543,65.836,42.0249,67.6312,54.8025
english_replace,42.0527,87.6212,37.413,66.2852,38.7222,67.2907,54.3217
english_shuffle_sentences,41.998,87.4914,37.6942,66.5165,39.6499,67.0311,54.7178
